marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
ld_unique_words,130.3833,174.59,-44.2067,33.91,0.0,6.008352025101135e-51,True,-2.3941,increase,5.492131756503705e-50,True
read_syllables_per_word,1.3527,1.5166,-0.1639,12.11,0.0,6.083559849691437e-51,True,-2.5534,increase,5.492131756503705e-50,True
read_coleman_liau,5.7187,8.864,-3.1452,55.0,0.0,6.083559849691437e-51,True,-2.8,increase,5.492131756503705e-50,True
ent_word,6.4776,6.918,-0.4404,6.8,0.0,6.083559849691437e-51,True,-2.6426,increase,5.492131756503705e-50,True
sty_mean_word_length,3.9974,4.4947,-0.4973,12.44,1.0,6.144866877758197e-51,True,-2.8396,increase,5.492131756503705e-50,True
ld_hapax_ratio,0.695,0.7948,-0.0998,14.36,10.0,6.725059293678006e-51,True,-2.0789,increase,5.492131756503705e-50,True
ld_mtld,69.4687,122.0506,-52.5819,75.69,51.0,1.0139192181036734e-50,True,-2.0371,increase,7.097434526725714e-50,True
read_flesch_ease,75.5542,60.9144,14.6398,-19.38,78.0,1.3281577156789609e-50,True,2.0733,decrease,8.134966008533636e-50,True
sty_function_word_ratio,0.4538,0.3927,0.0611,-13.47,217.0,5.304504740132268e-50,True,1.9778,decrease,2.888008136294235e-49,True
pos_pron_ratio,0.1611,0.1291,0.032,-19.86,1053.0,1.8354719600124184e-46,True,1.4875,decrease,8.99381260406085e-46,True
pos_punct_ratio,0.0941,0.1171,-0.0229,24.36,2108.0,3.4617620084529886e-42,True,-1.1491,increase,1.5420576219472403e-41,True
pos_noun_ratio,0.14,0.1654,-0.0254,18.17,2135.0,6.859828215725539e-42,True,-1.1807,increase,2.8010965214212615e-41,True
emo_word_density,0.0705,0.0911,-0.0206,29.29,2921.0,4.886796656960577e-39,True,-1.0778,increase,1.8419464322389866e-38,True
pos_adj_ratio,0.0558,0.0702,-0.0145,25.97,4067.0,8.213129256983688e-35,True,-0.9441,increase,2.8745952399442907e-34,True
ent_char,4.1704,4.1966,-0.0262,0.63,4532.0,3.6103356061930264e-33,True,-0.9024,increase,1.1793762980230553e-32,True
causal_markers,2.3367,1.3595,0.9771,-41.82,4584.0,5.479243331988369e-33,True,0.8832,decrease,1.678018270421438e-32,True
voice_contraction_density,0.0208,0.0092,0.0116,-55.64,4658.0,1.293968855640752e-30,True,0.8047,decrease,3.7296749368468736e-30,True
voice_first_person_density,0.0875,0.0776,0.0099,-11.28,7141.0,1.7009986728049887e-24,True,0.6564,decrease,4.630496387080247e-24,True
emo_granularity,2.5411,2.6944,-0.1532,6.03,7880.0,2.4542619398856337e-22,True,-0.6013,increase,6.329412371284003e-22,True
sd_std_consecutive,0.1368,0.1163,0.0205,-14.98,8942.0,1.234610194771151e-19,True,0.5804,decrease,3.0247949771893196e-19,True
syn_mean_depth,4.616,4.9769,-0.361,7.82,9885.5,2.308859783762302e-16,True,-0.4757,increase,5.387339495445371e-16,True
syn_mean_sent_len,15.8882,17.5348,-1.6467,10.36,11047.5,2.8708475380274036e-14,True,-0.4145,increase,6.39416042560649e-14,True
syn_min_sent_len,5.2467,6.6033,-1.3567,25.86,8366.5,6.592271493706626e-13,True,-0.4236,increase,1.4044404486592376e-12,True
emo_volatility,1.0667,1.2242,-0.1575,14.76,11828.0,8.88227618766508e-13,True,-0.4045,increase,1.8134647216482871e-12,True
sent_std_compound,0.3587,0.3893,-0.0306,8.54,12015.0,2.1801678365942816e-12,True,-0.409,increase,4.273128959724792e-12,True
conflict_second_person,0.01,0.0072,0.0028,-27.67,2008.0,8.998635796725295e-11,True,0.3343,decrease,1.6958967463059208e-10,True
narr_past_tense_ratio,0.3983,0.4347,-0.0364,9.14,13141.0,3.5267574105501827e-10,True,-0.3843,increase,6.400411596924406e-10,True
sty_exclamation_per_sent,0.0261,0.0053,0.0208,-79.81,71.5,1.9762792302695056e-09,True,0.3265,decrease,3.458488652971635e-09,True
sent_pct_negative,0.2178,0.2613,-0.0434,19.94,11512.0,6.6397466114080255e-09,True,-0.353,increase,1.1218882205482527e-08,True
syn_subordination_ratio,1.1179,1.24,-0.122,10.92,13744.5,1.5261379563792517e-08,True,-0.2416,increase,2.4926919954194443e-08,True
coh_global_similarity,0.2424,0.2548,-0.0124,5.1,14921.0,3.581700844734769e-07,True,-0.2907,increase,5.661398109419473e-07,True
sent_pct_positive,0.4212,0.4723,-0.0512,12.15,13452.5,4.442248710273376e-07,True,-0.3128,increase,6.802193337606107e-07,True
sd_max_consecutive,0.9211,0.8983,0.0228,-2.48,15467.0,2.2802826393830683e-06,True,0.2803,decrease,3.3858742221142532e-06,True
sty_question_per_sent,0.0183,0.0108,0.0075,-41.02,216.0,9.771337443435396e-06,True,0.2469,decrease,1.4082221609656893e-05,True
syn_std_sent_len,7.5765,6.7796,0.7969,-10.52,16325.0,3.234750183889535e-05,True,0.2953,decrease,4.528650257445349e-05,True
sent_max_compound,0.7341,0.7652,-0.0311,4.24,16087.5,0.0001745033068061039,True,-0.2209,increase,0.0002375183898194192,True
voice_proper_noun_density,0.0102,0.0092,0.0009,-9.21,8549.0,0.0004008404386992568,True,0.1476,decrease,0.000530842743142259,True
voice_disfluency,0.0076,0.0058,0.0018,-23.76,13598.0,0.0004938279220065879,True,0.2447,decrease,0.0006367781099558634,True
voice_specific_number_density,0.0116,0.0105,0.001,-8.82,15162.5,0.0006517739060250414,True,0.2142,decrease,0.0008188954203904366,True
sd_spread,0.0633,0.0598,0.0035,-5.5,17475.0,0.0006950548926215702,True,0.2054,decrease,0.0008514422434614234,True
sent_min_compound,-0.5115,-0.5467,0.0352,-6.88,14925.5,0.0011878575736894265,True,0.1703,decrease,0.001419634661238583,True
narr_action_verb_density,0.1378,0.1351,0.0027,-1.95,18023.0,0.0024691228850346925,True,0.1564,decrease,0.0028806433658738083,True
pos_adv_ratio,0.0644,0.0671,-0.0027,4.22,18722.0,0.010399286573776326,True,-0.137,increase,0.011850349816628837,True
syn_n_sents,16.0267,16.4067,-0.38,2.37,14577.5,0.09231998775787364,False,-0.1044,increase,0.10281089545763201,False
sent_mean_compound,0.1172,0.1262,-0.009,7.7,20248.0,0.12175110821015843,False,-0.0789,increase,0.13257342893995028,False
moral_loyalty,0.0014,0.0014,-0.0001,4.34,2420.5,0.19086061272897292,False,-0.0209,increase,0.20330804399390592,False
coh_local_similarity,0.3004,0.3021,-0.0017,0.56,21864.0,0.6363429464611634,False,-0.0297,increase,0.66342136971483,False
narr_temporal_marker_density,0.0127,0.0126,0.0002,-1.42,21018.5,0.7975176558800177,False,0.0228,decrease,0.8141326070441847,False
id,551.4,551.4,0.0,0.0,0.0,1.0,False,0.0,none,1.0,False
