marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
pos_punct_ratio,0.0941,0.1174,-0.0233,24.71,1023.0,2.072867689183515e-46,True,-1.3717,increase,1.0157051676999224e-44,True
ent_word,6.4776,6.6067,-0.1291,1.99,1154.0,4.811417826648536e-46,True,-1.2229,increase,1.1787973675288913e-44,True
ld_unique_words,130.3833,140.3933,-10.01,7.68,1069.0,3.55106879236909e-45,True,-1.1994,increase,5.80007902753618e-44,True
read_coleman_liau,5.7187,6.6831,-0.9644,16.86,1923.0,6.381671020725416e-43,True,-1.1723,increase,7.817547000388635e-42,True
sty_mean_word_length,3.9974,4.1352,-0.1378,3.45,2257.0,1.336604603864132e-41,True,-1.1369,increase,1.3098725117868492e-40,True
sty_function_word_ratio,0.4538,0.4288,0.025,-5.51,2614.0,3.2694892231039177e-40,True,1.0776,decrease,2.670082865534866e-39,True
ld_mtld,69.4687,85.4712,-16.0025,23.04,2681.0,5.920375635465575e-40,True,-1.07,increase,4.1442629448259027e-39,True
read_syllables_per_word,1.3527,1.3925,-0.0398,2.94,3498.0,7.044558201648824e-37,True,-0.9767,increase,4.3147918985099054e-36,True
ld_hapax_ratio,0.695,0.7303,-0.0353,5.08,4566.0,4.743132195122861e-33,True,-0.888,increase,2.5823719729002244e-32,True
read_flesch_ease,75.5542,72.2865,3.2677,-4.32,7061.0,5.911410171165589e-25,True,0.6979,decrease,2.8965909838711384e-24,True
pos_pron_ratio,0.1611,0.1537,0.0074,-4.57,9247.0,7.776495314219108e-19,True,0.5249,decrease,3.4640751854248752e-18,True
coh_global_similarity,0.2424,0.2559,-0.0135,5.56,10508.0,1.0185071148158177e-15,True,-0.4655,increase,4.158904052164589e-15,True
voice_first_person_density,0.0875,0.0843,0.0032,-3.63,12470.0,7.078087588452569e-11,True,0.3261,decrease,2.6678945525705834e-10,True
sty_exclamation_per_sent,0.0261,0.0046,0.0215,-82.49,5.0,3.154299984802241e-10,True,0.3529,decrease,1.1040049946807843e-09,True
narr_past_tense_ratio,0.3983,0.425,-0.0267,6.71,12989.5,3.91723154520345e-09,True,-0.3617,increase,1.2796289714331269e-08,True
narr_action_verb_density,0.1378,0.1431,-0.0053,3.83,13919.0,1.3090389427870258e-08,True,-0.375,increase,4.008931762285267e-08,True
conflict_second_person,0.01,0.0086,0.0014,-14.1,2173.0,2.4955378361235718e-08,True,0.3,decrease,7.193020821767942e-08,True
sd_max_consecutive,0.9211,0.9025,0.0186,-2.02,14109.0,2.7304492923084716e-08,True,0.2956,decrease,7.432889740173061e-08,True
syn_mean_sent_len,15.8882,16.5319,-0.6437,4.05,14267.0,1.1213994211501124e-07,True,-0.2165,increase,2.8920300861239744e-07,True
syn_min_sent_len,5.2467,5.9767,-0.73,13.91,5749.0,1.8045280815286033e-07,True,-0.2638,increase,4.421093799745078e-07,True
syn_n_sents,16.0267,15.3333,0.6933,-4.33,9414.0,4.179640555212495e-07,True,0.2918,decrease,9.752494628829154e-07,True
pos_adv_ratio,0.0644,0.069,-0.0046,7.15,15005.0,4.801411136668479e-07,True,-0.3066,increase,1.0694052077125248e-06,True
pos_noun_ratio,0.14,0.1363,0.0037,-2.64,15103.0,1.4517784273711573e-06,True,0.2781,decrease,3.0929192583124656e-06,True
syn_subordination_ratio,1.1179,1.1713,-0.0534,4.78,14290.0,1.7737877449472266e-05,True,-0.1425,increase,3.6214833126005876e-05,True
coh_local_similarity,0.3004,0.311,-0.0105,3.51,16387.0,3.871002938021834e-05,True,-0.2468,increase,7.587165758522793e-05,True
syn_std_sent_len,7.5765,6.9856,0.5909,-7.8,16850.0,0.00014057742418247101,True,0.262,decrease,0.0002649343763438877,True
voice_specific_number_density,0.0116,0.0124,-0.0008,7.15,14302.0,0.0001490452714905963,True,-0.2108,increase,0.0002704895667792303,True
sent_pct_positive,0.4212,0.4506,-0.0294,6.97,15174.0,0.0001865112329429675,True,-0.2498,increase,0.0003263946576501931,True
voice_disfluency,0.0076,0.0063,0.0014,-17.75,10572.5,0.0002160199419795599,True,0.2236,decrease,0.0003649992123102909,True
voice_contraction_density,0.0208,0.019,0.0018,-8.47,14914.0,0.0004532153525991524,True,0.1744,decrease,0.0007402517425786155,True
narr_temporal_marker_density,0.0127,0.014,-0.0013,10.22,15904.0,0.0007182169679833126,True,-0.2083,increase,0.0011225556391225777,True
sent_mean_compound,0.1172,0.1341,-0.0169,14.44,17497.0,0.000733097560243316,True,-0.2247,increase,0.0011225556391225777,True
syn_mean_depth,4.616,4.7092,-0.0932,2.02,17735.5,0.0017233906410434267,True,-0.1639,increase,0.0025589739821553913,True
sd_std_consecutive,0.1368,0.132,0.0049,-3.55,18042.0,0.0025743301213174492,True,0.1526,decrease,0.0037100639983692653,True
emo_word_density,0.0705,0.0725,-0.002,2.85,18547.0,0.012264888963322269,True,-0.1628,increase,0.017170844548651178,True
sent_max_compound,0.7341,0.7433,-0.0092,1.25,13363.0,0.0261447441727275,True,-0.0779,increase,0.035585901790656876,True
sty_question_per_sent,0.0183,0.014,0.0042,-23.17,400.5,0.05446086440316258,False,0.1623,decrease,0.07212384745283693,False
pos_adj_ratio,0.0558,0.0568,-0.001,1.82,19587.0,0.05786192936813937,False,-0.1079,increase,0.07461143523786393,False
sent_std_compound,0.3587,0.3644,-0.0057,1.59,19980.0,0.08440384933439297,False,-0.1066,increase,0.10604586198423732,False
ent_char,4.1704,4.1725,-0.0021,0.05,20360.0,0.14075515730558635,False,-0.0991,increase,0.1724250676993433,False
moral_loyalty,0.0014,0.0015,-0.0001,8.43,1218.0,0.20463679702749726,False,-0.0589,increase,0.2445659281548138,False
sent_min_compound,-0.5115,-0.5031,-0.0084,1.65,12198.5,0.2832544035134392,False,-0.0456,increase,0.3304634707656791,False
causal_markers,2.3367,2.2741,0.0626,-2.68,20622.0,0.3575439147463133,False,0.0834,decrease,0.40743376331556636,False
sent_pct_negative,0.2178,0.2219,-0.0041,1.88,17162.5,0.43593656561339367,False,-0.0481,increase,0.4854748117058248,False
emo_granularity,2.5411,2.5521,-0.0109,0.43,21257.0,0.5572107269499599,False,-0.0517,increase,0.6067405693455119,False
emo_volatility,1.0667,1.0606,0.006,-0.57,21680.0,0.6185463374416871,False,0.0203,decrease,0.6588863159704927,False
sd_spread,0.0633,0.0637,-0.0004,0.56,21864.0,0.6363429464611634,False,-0.0286,increase,0.66342136971483,False
