marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
ent_word,6.4776,6.7158,-0.2383,3.68,97.0,1.6057307973762776e-50,True,1.6741,decrease,4.158454880242141e-49,True
ld_unique_words,130.3833,153.34,-22.9567,17.61,67.0,1.6973285225478125e-50,True,1.3447,decrease,4.158454880242141e-49,True
pos_punct_ratio,0.0941,0.1196,-0.0255,27.08,739.0,1.3303984988206474e-47,True,1.4242,decrease,2.1729842147403907e-46,True
sty_mean_word_length,3.9974,4.1866,-0.1893,4.73,1303.0,1.9776142267813426e-45,True,1.3889,decrease,2.422577427807145e-44,True
ld_mtld,69.4687,91.4193,-21.9506,31.6,1355.0,3.23131075199767e-45,True,1.2629,decrease,3.1666845369577165e-44,True
read_coleman_liau,5.7187,6.9215,-1.2027,21.03,1430.0,6.546694723570109e-45,True,1.2813,decrease,5.346467357582256e-44,True
sty_function_word_ratio,0.4538,0.4212,0.0326,-7.19,1850.0,3.26106562382726e-43,True,-1.2061,increase,2.282745936679082e-42,True
read_syllables_per_word,1.3527,1.4006,-0.0479,3.54,3466.0,5.367741137133229e-37,True,1.0042,decrease,3.287741446494103e-36,True
ld_hapax_ratio,0.695,0.7342,-0.0392,5.64,3974.0,6.129517869418034e-35,True,0.9225,decrease,3.3371819511275973e-34,True
read_flesch_ease,75.5542,72.0058,3.5484,-4.7,7774.0,7.368382163224167e-23,True,-0.6317,increase,3.610507259979842e-22,True
pos_pron_ratio,0.1611,0.1518,0.0093,-5.77,8882.0,8.555012977612732e-20,True,-0.5244,increase,3.8108694173002173e-19,True
narr_past_tense_ratio,0.3983,0.4419,-0.0436,10.95,9867.0,2.079684111095383e-16,True,0.5148,decrease,8.492043453639482e-16,True
voice_first_person_density,0.0875,0.0824,0.0051,-5.88,10817.0,2.2597008282072715e-14,True,-0.4202,increase,8.5173338909351e-14,True
sty_exclamation_per_sent,0.0261,0.002,0.0241,-92.5,2.0,1.2282618895413407e-10,True,-0.3513,increase,4.298916613394693e-10,True
narr_action_verb_density,0.1378,0.1442,-0.0064,4.64,13033.0,2.2174474098365555e-10,True,0.4078,decrease,7.243661538799413e-10,True
pos_adv_ratio,0.0644,0.0712,-0.0068,10.49,13165.0,3.907183098871888e-10,True,0.3766,decrease,1.196574824029516e-09,True
conflict_second_person,0.01,0.008,0.002,-19.65,2367.0,7.727568056885976e-09,True,-0.3244,increase,2.2273578516906636e-08,True
coh_global_similarity,0.2424,0.253,-0.0106,4.36,13914.0,8.431200517609961e-09,True,0.2933,decrease,2.2951601409049337e-08,True
sd_std_consecutive,0.1368,0.1271,0.0097,-7.11,14412.0,5.6851679243852916e-08,True,-0.299,increase,1.4661748857625228e-07,True
emo_word_density,0.0705,0.0754,-0.0049,6.98,14569.0,1.5171876671524538e-07,True,0.3332,decrease,3.717109784523511e-07,True
